tournament_name,winner_winners,winner_ue,winner_aces,winner_df,loser_winners,loser_ue,loser_aces,loser_df
Australian Open,20,22,8,2,24,14,5,1
Australian Open,27,19,8,1,24,17,10,0
Australian Open,34,31,9,5,28,37,5,2
Australian Open,48,26,20,3,14,29,8,4
Australian Open,36,22,8,2,18,21,4,4
Australian Open,32,27,10,2,20,37,8,3
Australian Open,54,53,17,3,46,57,9,4
Australian Open,42,43,10,1,28,44,5,6
Australian Open,38,21,21,1,33,38,11,4
Australian Open,35,43,14,2,33,67,9,5
Australian Open,41,25,14,2,30,38,10,5
Australian Open,33,31,15,2,39,50,12,6
Australian Open,19,15,6,0,9,13,0,0
Australian Open,62,35,20,5,49,42,8,4
Australian Open,49,28,20,5,38,41,12,7
Australian Open,45,28,4,3,17,29,7,3
Australian Open,49,21,14,0,14,26,2,6
Australian Open,32,27,10,3,21,23,6,3
Australian Open,43,40,16,6,33,46,3,6
Australian Open,51,29,10,2,77,54,30,6
Australian Open,52,47,15,7,33,26,10,3
Australian Open,48,60,15,5,23,33,5,5
Australian Open,43,34,5,4,78,62,40,0
Australian Open,65,42,24,3,40,40,19,6
Australian Open,34,26,6,4,27,49,8,4
Australian Open,27,38,1,5,11,46,1,4
Australian Open,60,45,28,8,34,33,14,4
Australian Open,45,40,23,4,11,18,3,3
Australian Open,37,12,18,2,47,32,16,4
Australian Open,51,36,6,4,23,41,7,4
Australian Open,28,40,7,4,37,50,8,1
Australian Open,45,41,7,3,29,32,7,6
Australian Open,71,50,17,5,77,54,25,3
Australian Open,51,43,4,1,50,65,6,4
Australian Open,50,45,9,5,34,39,1,4
Australian Open,36,37,6,2,32,42,8,2
Australian Open,32,24,9,4,15,42,7,2
Australian Open,41,22,10,5,20,21,3,1
Australian Open,19,42,5,2,65,80,19,5
Australian Open,43,30,6,3,40,34,10,5
Australian Open,32,26,12,4,47,65,19,11
Australian Open,40,33,12,1,78,68,37,12
Australian Open,45,34,10,4,41,46,12,1
Australian Open,49,40,5,2,25,25,3,4
Australian Open,20,24,5,5,12,42,3,7
Australian Open,44,37,15,4,27,44,5,5
Australian Open,63,69,11,3,55,70,13,7
Australian Open,19,23,5,4,29,35,10,4
Australian Open,35,35,5,3,30,27,5,4
Australian Open,28,25,10,1,41,36,4,3
Australian Open,31,17,18,2,23,33,9,4
Australian Open,41,32,12,2,24,31,9,1
Australian Open,37,29,15,1,25,33,3,2
Australian Open,31,28,8,6,25,40,6,1
Australian Open,43,37,17,4,56,54,14,4
Australian Open,27,23,11,6,33,48,15,4
Australian Open,56,51,17,4,35,29,6,3
Australian Open,59,42,30,1,45,29,15,3
Australian Open,41,31,25,4,55,45,18,6
Australian Open,33,16,5,1,15,30,6,6
Australian Open,19,10,5,1,23,36,6,4
Australian Open,46,16,19,0,33,32,11,5
Australian Open,26,32,4,1,29,23,4,3
Australian Open,33,16,5,2,31,34,8,3
French Open,55,48,5,5,26,29,3,0
French Open,24,17,4,1,24,22,2,0
French Open,24,25,3,1,8,16,5,1
French Open,19,20,4,0,37,40,4,3
French Open,27,29,1,0,11,20,1,2
French Open,30,26,4,1,30,19,3,3
French Open,19,26,1,0,21,33,0,0
French Open,20,39,5,3,33,42,3,4
French Open,33,14,5,3,24,17,9,4
French Open,16,22,2,2,16,37,2,3
French Open,20,11,4,0,32,44,8,6
French Open,47,51,7,4,13,22,3,2
French Open,45,52,2,4,21,22,0,1
French Open,15,27,6,2,25,38,6,3
French Open,33,31,8,1,37,27,9,4
French Open,31,21,1,0,30,30,1,1
French Open,17,16,1,0,18,35,0,5
French Open,23,15,5,2,23,32,0,2
French Open,26,24,3,1,30,42,7,2
French Open,32,32,3,2,21,20,7,1
French Open,12,23,3,2,12,30,2,4
French Open,29,23,3,1,11,15,1,5
French Open,17,33,2,4,29,32,8,4
French Open,29,20,2,4,19,22,2,1
French Open,23,24,1,1,26,36,1,1
French Open,18,14,3,1,21,20,6,1
French Open,17,9,1,1,22,36,1,2
French Open,25,19,3,2,17,25,2,1
French Open,27,29,4,0,18,28,6,6
French Open,19,14,2,0,17,29,5,0
French Open,20,20,1,2,20,36,3,2
French Open,32,43,1,3,35,43,2,1
French Open,19,20,0,0,9,28,1,1
French Open,18,23,1,1,20,38,3,10
French Open,25,36,6,6,25,43,4,5
French Open,30,61,6,3,38,46,5,3
French Open,24,17,3,1,47,52,5,11
French Open,18,7,7,0,20,28,1,3
French Open,29,39,2,2,24,43,6,3
French Open,40,45,3,5,28,25,7,1
French Open,33,31,1,2,39,46,0,2
French Open,22,16,5,0,19,27,3,2
French Open,29,17,6,1,10,16,4,2
French Open,28,24,3,3,10,20,1,1
French Open,41,34,5,0,21,24,2,0
French Open,29,23,3,2,25,29,6,4
French Open,29,18,7,3,36,43,7,7
French Open,15,17,1,0,17,31,0,4
French Open,30,34,4,1,37,39,10,1
French Open,27,31,1,4,28,36,3,4
French Open,22,15,1,1,23,32,7,2
French Open,1,4,1,3,1,2,2,1
French Open,40,31,9,3,31,35,5,9
French Open,40,27,7,3,23,22,2,6
French Open,21,17,7,2,18,22,4,3
French Open,19,16,0,1,14,25,3,3
French Open,45,31,12,6,35,37,13,1
French Open,29,20,9,2,18,32,3,4
French Open,35,28,13,3,41,48,5,3
French Open,48,22,17,4,53,35,14,3
French Open,33,27,10,4,44,47,10,2
French Open,19,21,5,5,14,20,0,4
French Open,53,44,16,2,28,42,6,5
French Open,17,10,1,0,5,12,2,2
French Open,45,18,12,2,54,46,16,4
French Open,35,36,6,8,18,21,4,6
French Open,27,20,4,2,12,31,3,5
French Open,48,51,13,3,39,52,6,2
French Open,61,34,7,2,62,59,9,9
French Open,39,27,12,2,12,35,3,5
French Open,44,37,14,3,33,51,4,13
French Open,51,36,4,3,71,48,21,5
French Open,28,27,6,4,42,67,6,9
French Open,36,29,8,3,12,32,3,5
French Open,34,36,6,7,21,33,5,5
French Open,28,34,6,6,25,57,4,5
French Open,61,54,6,4,42,47,3,4
French Open,57,45,13,6,57,51,25,10
French Open,38,31,5,1,24,33,5,3
French Open,31,30,11,0,18,39,3,4
French Open,33,52,7,1,25,59,1,11
French Open,32,20,3,3,11,26,3,2
French Open,16,20,4,5,41,77,9,4
French Open,52,30,20,1,42,44,2,3
French Open,34,30,6,2,23,29,5,2
French Open,55,44,15,5,34,30,6,1
French Open,43,23,6,1,18,39,1,0
French Open,41,32,10,4,35,41,10,2
French Open,45,17,19,2,18,27,1,1
French Open,46,35,12,4,37,37,1,2
French Open,46,38,10,9,40,43,10,4
French Open,50,45,10,7,40,36,7,7
French Open,31,25,7,4,27,32,7,8
French Open,58,52,12,0,41,52,7,10
French Open,60,85,11,8,44,54,3,3
French Open,23,16,3,1,25,35,8,4
French Open,68,32,15,2,88,59,43,6
French Open,39,32,16,3,49,50,12,13
French Open,38,46,7,6,36,71,8,7
French Open,31,24,11,3,12,42,3,2
French Open,24,25,2,2,23,36,7,2
French Open,38,52,5,2,34,45,9,2
French Open,67,61,6,8,60,54,10,5
French Open,44,77,9,9,56,81,7,6
French Open,34,23,6,3,42,50,9,5
French Open,52,33,14,5,51,64,5,7
French Open,53,37,10,2,46,48,10,4
French Open,61,41,17,9,60,53,15,2
French Open,33,38,6,5,21,39,2,4
French Open,44,39,12,3,28,31,6,1
French Open,71,48,13,11,51,59,7,5
French Open,53,47,6,7,30,50,7,2
French Open,49,55,17,3,54,55,13,11
French Open,52,37,15,5,72,52,26,7
French Open,43,41,10,3,61,59,13,3
French Open,51,52,2,0,51,52,7,4
French Open,43,26,4,2,19,23,3,4
French Open,51,36,5,1,35,27,16,4
French Open,74,76,18,5,69,69,8,8
French Open,35,35,7,0,22,29,1,0
French Open,33,46,8,2,40,47,7,4
French Open,16,16,1,3,26,37,4,1
French Open,42,37,8,2,32,41,4,5
French Open,50,54,6,9,42,65,6,3
Wimbledon,24,28,6,3,30,38,4,4
Wimbledon,15,15,2,1,12,29,3,2
Wimbledon,17,17,9,2,17,15,1,0
Wimbledon,19,18,9,4,13,14,4,1
Wimbledon,21,15,5,3,24,26,9,0
Wimbledon,25,12,8,5,14,14,3,4
Wimbledon,39,18,18,4,34,12,15,4
Wimbledon,25,16,4,2,14,20,5,8
Wimbledon,16,11,8,1,25,20,5,7
Wimbledon,24,14,12,6,30,19,8,1
Wimbledon,28,29,12,4,35,32,7,4
Wimbledon,11,23,3,3,8,22,1,3
Wimbledon,22,13,7,7,17,23,3,4
Wimbledon,17,17,4,2,26,14,10,0
Wimbledon,32,23,4,2,25,27,6,8
Wimbledon,12,25,0,7,18,20,8,2
Wimbledon,14,18,9,3,7,20,0,2
Wimbledon,26,18,10,2,16,19,6,3
Wimbledon,17,10,6,0,11,16,2,1
Wimbledon,14,14,4,2,24,26,6,3
Wimbledon,32,16,9,2,13,8,8,2
Wimbledon,25,21,8,6,15,20,6,2
Wimbledon,25,11,8,3,13,18,1,3
Wimbledon,43,45,16,18,21,18,8,4
Wimbledon,27,15,0,0,30,22,10,8
Wimbledon,12,18,4,1,16,19,4,3
Wimbledon,17,11,2,1,17,15,4,0
Wimbledon,24,15,7,1,12,11,0,1
Wimbledon,49,21,14,5,29,19,5,7
Wimbledon,14,9,3,0,10,27,2,1
Wimbledon,27,20,4,3,20,16,7,1
Wimbledon,24,13,9,6,18,9,4,1
Wimbledon,43,40,11,6,10,12,3,3
Wimbledon,15,18,0,6,26,22,8,7
Wimbledon,20,21,3,6,21,30,7,7
Wimbledon,15,11,1,1,19,20,4,3
Wimbledon,29,16,5,5,17,43,0,13
Wimbledon,29,9,5,0,17,18,7,2
Wimbledon,26,12,7,7,25,20,3,3
Wimbledon,16,7,5,1,20,22,2,5
Wimbledon,24,10,7,2,16,11,9,0
Wimbledon,46,25,21,3,27,17,18,3
Wimbledon,21,18,7,2,21,23,7,1
Wimbledon,23,19,12,4,18,15,8,4
Wimbledon,27,15,6,2,15,17,7,1
Wimbledon,10,8,1,1,17,19,12,4
Wimbledon,10,9,3,2,14,21,6,1
Wimbledon,19,11,6,4,24,10,12,1
Wimbledon,26,22,5,4,30,12,14,2
Wimbledon,12,10,3,2,19,14,7,4
Wimbledon,33,28,9,7,15,25,0,3
Wimbledon,0,0,0,0,0,0,0,0
Wimbledon,21,16,6,2,13,22,3,6
Wimbledon,30,17,10,3,12,25,2,4
Wimbledon,25,14,10,3,8,14,0,6
Wimbledon,19,9,9,0,12,16,0,4
